event1_rms	event2_rms	event3_rms	event4_rms	event5_rms
1.2869430780410767	1.2697632312774658	1.260504961013794	1.2153242826461792	1.2342121601104736
1.1934423446655273	1.2281471490859985	1.2108585834503174	1.2335001230239868	1.228981375694275
1.30355966091156	1.2877392768859863	1.2646795511245728	1.2659523487091064	1.2416632175445557
1.2958996295928955	1.2683788537979126	1.322515845298767	1.3106166124343872	1.4875767230987549
1.487379789352417	1.313852310180664	1.4094431400299072	1.396607518196106	1.2904651165008545
1.2842097282409668	1.3130719661712646	1.315077543258667	1.3199671506881714	1.3075969219207764
1.3306831121444702	1.2409555912017822	1.2820417881011963	1.2535163164138794	1.28921639919281
1.492784023284912	1.4408798217773438	1.3671528100967407	1.417522668838501	1.3920923471450806
1.3365018367767334	1.2735626697540283	1.3307931423187256	1.334638237953186	1.3056919574737549
1.221572756767273	1.2080743312835693	1.206619143486023	1.24237060546875	1.335405945777893
1.3480640649795532	1.2320749759674072	1.2267158031463623	1.4388461112976074	1.2519969940185547
1.3627549409866333	1.381428837776184	1.3131835460662842	1.3503429889678955	1.3074849843978882
1.304570198059082	1.266183614730835	1.4952340126037598	1.318080186843872	1.3395657539367676
1.3739897012710571	1.4489861726760864	1.4635642766952515	1.2836395502090454	1.4301706552505493
1.1801183223724365	1.2248046398162842	1.250124454498291	1.1693999767303467	1.187045693397522
1.2810134887695312	1.2736777067184448	1.2625939846038818	1.3499091863632202	1.265373945236206
1.3698275089263916	1.390303134918213	1.3146321773529053	1.363077163696289	1.4178324937820435
1.323622465133667	1.3372684717178345	1.3026608228683472	1.3702549934387207	1.369613766670227
1.3259433507919312	1.3099461793899536	1.2972546815872192	1.2783820629119873	1.3554294109344482
1.334418773651123	1.3185243606567383	1.2820417881011963	1.3230693340301514	1.3432767391204834
1.4375226497650146	1.4346680641174316	1.4970933198928833	1.4644644260406494	1.4415909051895142
1.3195234537124634	1.363721489906311	1.3856617212295532	1.3474122285842896	1.3702549934387207
